Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K)[1],Discovery method,Distance (ly),Host star mass (M☉),Host star temp. (K),Discovery_Year
Kepler-432c,2.43,,406.2,,,radial vel.,2830.0,1.32,4995.0,2014
Kepler-453b,0.00063,0.553,240.503,0.7903,,transit,1463.0,0.94,5527.0,2014
Mu Leonis b,2.4,,357.8,1.1,,radial vel.,133.0,1.5,4538.2,2014
OGLE-2008-BLG-355Lb,4.6,,,1.7,,microlensing,22000.0,0.37,,2014
OGLE-2008-BLG-92Lb,0.18,,,18.0,,microlensing,26000.0,0.71,,2014
OGLE-2011-BLG-265Lb,0.88,,,1.89,,microlensing,14300.0,0.21,,2014
OGLE-2013-BLG-102Lb,12.569,,,0.8,,microlensing,9900.0,0.1,,2014
OGLE-2013-BLG-341LBb,0.0073,,,0.883,,microlensing,3790.0,0.15,,2014
OGLE-2014-BLG-0124Lb,0.51,,,3.11,,microlensing,13000.0,0.71,,2014
SAND364 b,1.54,,121.71,,,radial vel.,2730.0,1.35,4284.0,2014
TYC 1422-614-1 b,2.5,,198.4,0.69,,radial vel.,2480.0,1.15,4806.0,2014
TYC 1422-614-1 c,10.0,,559.3,1.37,,radial vel.,2480.0,1.15,4806.0,2014
WASP-20 A b,0.72,1.32,3.16158,0.04317,,transit,663.39,1.05,5990.0,2014
WASP-74b,0.95,1.56,2.13775,0.037,1910.0,transit,390.0,1.48,5970.0,2014
WASP-83b,0.3,1.04,4.971252,0.059,1120.0,transit,980.0,1.11,5510.0,2014
WASP-85Ab,1.265,1.24,2.6556777,0.039,1452.0,transit,243.0,1.09,6112.0,2014
WASP-87 b,2.18,1.39,1.6828,0.0295,,transit,982.0,1.2,6450.0,2014
WASP-89b,5.9,1.04,3.3564227,0.0427,1120.0,transit,957.0,0.92,5130.0,2014
WASP-94Ab,0.452,1.72,3.9501907,0.055,1604.0,transit,590.0,1.45,6153.0,2014
WASP-94Bb,0.618,,2.00839,0.0335,,radial vel.,590.0,1.24,6040.0,2014
WASP-103b,1.49,1.528,0.925542,0.01985,2508.0,transit,1500.0,1.22,6110.0,2014
WASP-104b,1.272,1.137,1.7554137,0.02918,1516.0,transit,470.0,1.08,5475.0,2014
WASP-106b,1.925,1.085,9.289715,0.0917,1140.0,transit,920.0,1.19,6055.0,2014
WASP-108 b,1.167,1.215,2.6755463,0.0397,1590.0,transit,717.6,1.167,6000.0,2014
WASP-109 b,0.91,1.443,3.3190233,0.0463,1695.0,transit,1173.0,1.203,6520.0,2014
WASP-110 b,0.515,1.238,3.7783977,0.0457,1134.0,transit,904.0,0.892,5400.0,2014
WASP-111 b,1.85,1.442,2.310965,0.03914,2140.0,transit,980.0,1.5,6400.0,2014
WASP-112 b,0.88,1.191,3.0353992,0.0382,1395.0,transit,1900.0,0.807,5610.0,2014
WASP-116b,0.59,1.43,6.61321,0.073,1400.0,transit,1770.0,1.25,5950.0,2014
WASP-117b,0.2755,1.021,10.02165,0.09459,1024.0,transit,518.0,1.13,6038.0,2014
WASP-149b,1.02,1.32,1.332811,0.0247,1870.0,transit,1770.0,1.12,5750.0,2014
XO-2Sb,0.259,,18.157,0.1344,,radial vel.,480.0,0.98,5399.0,2014
XO-2Sc,1.37,,120.8,0.4756,,radial vel.,480.0,0.98,5399.0,2014
YBP 1194 b,0.32,,6.959,,,radial vel.,2920.0,1.01,5780.0,2014
YBP 1514 b,0.4,,5.118,,,radial vel.,3060.0,0.96,5725.0,2014
2MASS J2126-8140,13.3,,,6900.0,1800.0,imaging,111.4,0.53,3490.0,2016
2MASS J22362452+4751425 b,12.5,,,230.0,,imaging,240.0,0.6,4045.0,2016
BD+15 2375 b,1.061,,153.22,0.576,,radial vel.,2520.0,1.08,4649.0,2016
BD+20 594 b,0.05129,0.199,41.6855,0.241,386.0,transit,496.0,0.96,5766.0,2016
EPIC 211901114 b,5.0,0.9,1.6489,0.0211,,transit,592.0,0.46,3440.0,2016
Gliese 536 b,0.01686,,8.7076,0.06661,,radial vel.,32.7,0.52,3685.0,2016
Gliese 676 Ac,6.8,,7337.0,6.6,,radial vel.,55.0,0.71,,2016
Gliese 3998 b,0.00777,,2.64977,0.029,740.0,radial vel.,58.0,0.5,3722.0,2016
Gliese 3998 c,0.0197,,13.74,0.089,420.0,radial vel.,58.0,0.5,3722.0,2016
HAT-P-65b,0.527,1.89,2.6054552,0.03951,1930.0,transit,2740.0,1.21,5835.0,2016
HAT-P-66b,0.783,1.59,2.972086,0.04363,1896.0,transit,3020.0,1.25,6002.0,2016
HATS-11b,0.85,1.51,3.6191613,0.04614,1637.0,transit,2950.0,1.0,6060.0,2016
HATS-12b,2.38,1.35,3.142833,0.04795,2097.0,transit,3200.0,1.49,6408.0,2016
HATS-18b,1.98,1.337,0.8378434,0.01761,2060.0,transit,2100.0,1.04,5600.0,2016
HATS-19b,0.427,1.66,4.569673,0.0589,1570.0,transit,1860.0,1.303,5896.0,2016
HATS-20b,0.273,0.776,3.7992969,0.04619,1147.0,transit,1610.0,0.91,5406.0,2016
HATS-21b,0.332,1.123,3.5543973,0.04676,1284.0,transit,954.0,1.08,5695.0,2016
HATS-22b,2.74,0.953,4.7228124,0.05025,858.0,transit,678.0,0.76,4803.0,2016
HATS-23b,1.47,1.86,2.1605156,0.03397,1654.0,transit,2440.0,1.12,5780.0,2016
HATS-24b,2.44,1.487,1.3484954,0.02547,2067.0,transit,1700.0,1.21,6346.0,2016
HATS-25b,0.613,1.26,4.2986432,0.05163,,transit,1520.0,0.99,5715.0,2016
HATS-26b,0.65,1.75,3.3023881,0.04735,,transit,2960.0,1.3,6071.0,2016
HATS-27b,0.53,1.5,4.637038,0.0611,,transit,2700.0,1.42,6438.0,2016
HATS-28b,0.672,1.194,3.1810781,0.04131,,transit,1700.0,0.93,5498.0,2016
HATS-29b,0.653,1.251,4.6058749,0.05475,,transit,1140.0,1.03,5670.0,2016
HATS-30b,0.706,1.175,3.1743516,0.04354,,transit,1110.0,1.09,5943.0,2016
HATS-31b,0.88,1.64,3.37796,0.0478,1823.0,transit,2840.0,1.27,6050.0,2016
HATS-32b,0.92,1.249,2.8126548,0.04024,1437.0,transit,2740.0,1.1,5700.0,2016
HATS-33b,1.192,1.23,2.5495551,0.03727,1429.0,transit,830.0,1.06,5659.0,2016
HATS-34b,0.941,1.43,2.1061607,0.03166,1445.0,transit,1740.0,0.95,5380.0,2016
HATS-35b,1.222,1.464,1.8209993,0.03199,2037.0,transit,1820.0,1.32,6300.0,2016
HD 3167 b,,0.139,0.959628,,,transit,149.0,0.86,5261.0,2016
HD 3167 c,,0.254,29.8454,,,transit,149.0,0.86,5261.0,2016
HD 5583 b,5.78,,139.35,0.53,,radial vel.,720.0,1.01,4830.0,2016
HD 9174 b [id],1.11,,1179.0,2.2,,radial vel.,257.4,1.03,5577.0,2016
HD 12484 b,2.98,,58.83,0.297,,radial vel.,167.0,1.01,5920.0,2016
HD 30177 c,7.6,,11613.0,9.89,,radial vel.,178.4,0.99,5580.0,2016
HD 35759 b,3.76,,82.467,0.389,,radial vel.,236.0,1.15,6060.0,2016
HD 42618 b [id],0.04531,,149.61,0.554,337.0,radial vel.,77.0,1.01,5727.0,2016
HD 47366 b,1.75,,363.3,1.214,,radial vel.,260.0,1.81,4866.0,2016
HD 47366 c,1.86,,684.7,1.853,,radial vel.,260.0,1.81,4866.0,2016
HD 68402 b,3.07,,1103.0,2.18,,radial vel.,250.0,1.12,5950.0,2016
HD 72892 b [id],5.45,,39.475,0.228,,radial vel.,237.4,1.02,5688.0,2016
HD 86950 b,3.6,,1270.0,2.72,,radial vel.,550.0,1.66,4805.0,2016
HD 87646 b [fr],12.4,,13.481,0.117,,radial vel.,240.0,1.12,5770.0,2016
HD 95089 c,3.97,,1860.0,,,radial vel.,42.1,1.58,5002.0,2016
HD 99706 c,5.69,,1278.0,,,radial vel.,480.0,1.7,4891.0,2016
HD 102329 c,1.52,,1123.0,,,radial vel.,66.97,3.21,4745.0,2016
HD 116029 c,1.27,,907.0,,,radial vel.,37.92,0.83,4819.0,2016
HD 128356 b [id],0.89,,298.2,0.87,,radial vel.,84.9,0.65,4875.0,2016
HD 133131 Ab,1.42,,649.0,1.44,,radial vel.,150.0,0.95,5799.0,2016
HD 133131 Ac,0.42,,3568.0,4.49,,radial vel.,150.0,0.95,5799.0,2016
HD 133131 Bb,2.5,,5769.0,6.15,,radial vel.,150.0,0.93,5805.0,2016
HD 143105 b,1.21,,2.1974,0.0379,,radial vel.,159.0,1.51,6380.0,2016
HD 147873 b [id],5.14,,116.596,0.522,,radial vel.,342.2,1.38,5972.0,2016
HD 147873 c [id],2.3,,491.54,1.36,,radial vel.,342.2,1.38,5972.0,2016
HD 156279 c,8.6,,4191.0,,,radial vel.,119.109,0.95,5453.0,2016
HD 164922 c,0.04059,,75.765,0.3351,400.0,radial vel.,72.2,0.87,5293.0,2016
HD 165155 b,2.89,,434.5,1.13,,radial vel.,211.9,1.02,5426.0,2016
HD 191806 b,8.52,,1606.3,2.8,,radial vel.,239.6,1.14,6010.0,2016
HD 214823 b [id],19.2,,1877.0,3.18,,radial vel.,317.9,1.22,6215.0,2016
HD 219828 c,15.1,,4791.0,5.96,,radial vel.,254.0,1.23,5891.0,2016
HD 220842 b,3.18,,218.47,0.74,,radial vel.,204.0,1.13,5960.0,2016
HD 221585 b [id],1.61,,1173.0,2.306,,radial vel.,174.8,1.19,5620.0,2016
HD 222076 b [id],1.56,,871.0,1.83,,radial vel.,272.0,1.07,4806.0,2016
HD 224538 b [id],5.97,,1189.1,2.28,,radial vel.,253.6,1.34,6097.0,2016
HD 11343 b,5.5,,1560.2,2.8,,radial vel.,550.0,1.17,4670.0,2016
HIP 41378 b,,0.259,15.5712,,,transit,378.8,1.15,6199.0,2016
HIP 41378 c,,0.228,31.6978,,,transit,378.8,1.15,6199.0,2016
HIP 41378 d,,0.353,156.0,,,transit,378.8,1.15,6199.0,2016
HIP 41378 e,,0.492,131.0,,,transit,378.8,1.15,6199.0,2016
HIP 41378 f,,0.91,324.0,,,transit,378.8,1.15,6199.0,2016
HIP 65407 b,0.428,,28.125,0.177,,radial vel.,181.0,0.93,5460.0,2016
HIP 65407 c,0.784,,67.3,0.316,,radial vel.,181.0,0.93,5460.0,2016
HIP 67537 b [zh],11.1,,2556.5,4.91,,radial vel.,,2.41,4985.0,2016
HD 135760 b [ru],2.4,,822.3,2.1,,radial vel.,298.4,1.74,4850.0,2016
HIP 109384 b,1.56,,499.48,1.134,,radial vel.,183.0,0.78,5180.0,2016
HIP 109600 b,2.68,,232.08,0.706,,radial vel.,191.0,0.87,5530.0,2016
HR 2562 b,30.0,1.11,,20.3,,imaging,109.7,1.3,,2016
K2-8c,,0.215,5.06416,0.0532,631.0,transit,,0.78,4870.0,2016
K2-19d,0.044,0.102,2.50856,0.0344,1252.0,transit,950.0,0.93,5430.0,2016
K2-24b,0.062,0.52,20.88508,0.1542,709.0,transit,590.0,1.12,5743.0,2016
K2-24c,0.082,0.723,42.36342,0.2471,560.0,transit,590.0,1.12,5743.0,2016
K2-26b [ru],,0.238,14.5665,0.0962,,transit,300.0,0.56,3785.0,2016
K2-27b,0.09722,0.4,6.771315,0.06702,,transit,,0.87,5248.0,2016
K2-29b,0.73,1.19,3.2588321,0.04217,1171.0,transit,600.0,0.94,5358.0,2016
K2-30b,0.579,1.039,4.098503,0.04839,1185.0,transit,910.0,0.9,5425.0,2016
K2-31b,1.774,1.06,1.25785,0.022,,transit,,0.91,5280.0,2016
K2-32b,0.05191,0.458,8.99213,0.08036,,transit,,0.86,5275.0,2016
K2-32c,0.03807,0.269,20.6602,0.1399,,transit,,0.86,5275.0,2016
K2-32d,0.03241,0.306,31.7154,0.1862,,transit,,0.86,5275.0,2016
K2-33b,3.7,0.45,5.424865,,,transit,470.0,0.56,3540.0,2016
K2-34b,1.76,1.35,2.995607,0.04419,1742.0,transit,1230.0,1.28,6132.0,2016
K2-35b,,0.125,2.39984,0.032,,transit,,0.76,4680.0,2016
K2-35c,,0.186,5.60912,0.0564,,transit,,0.76,4680.0,2016
K2-36b,,0.118,1.42266,0.023,,transit,,0.8,4924.0,2016
K2-36c,,0.25,5.34059,0.0555,,transit,,0.8,4924.0,2016
K2-37b,,0.144,4.44117,0.0511,,transit,,0.9,5413.0,2016
K2-37c,,0.245,6.42904,0.0654,,transit,,0.9,5413.0,2016
K2-37d,,0.244,14.09189,0.1103,,transit,,0.9,5413.0,2016
K2-38b,0.03776,0.138,4.01593,0.0506,,transit,631.0,1.03,5731.0,2016
K2-38c,0.03115,0.216,10.56103,0.0964,,transit,631.0,1.03,5731.0,2016
K2-39b [ru],0.12522,0.509,4.60497,0.0574,,transit,972.5,1.19,4912.0,2016
K2-42b,,0.192,6.68796,0.0617,,transit,,0.7,4613.0,2016
K2-43b,,0.368,3.47114,0.03784,,transit,,0.6,3939.0,2016
K2-44b,,0.243,5.65688,0.0651,,transit,,1.15,5912.0,2016
K2-45b,,0.599,1.7292684,0.0224,,transit,,0.5,4103.0,2016
K2-46b,,0.183,19.1541,0.13821,,transit,,0.96,6256.0,2016
K2-47b,,0.169,31.6372,0.1779,,transit,,0.75,5054.0,2016
K2-48b,,0.2,20.5065,0.1344,,transit,,0.77,4899.0,2016
K2-49b,,0.172,2.77065,0.0309,,transit,,0.51,4175.0,2016
K2-50b,,0.142,8.7529,0.0705,,transit,,0.61,4326.0,2016
K2-52b,,0.99,3.53482,0.0485,,transit,,1.21,6113.0,2016
K2-53b,,0.223,12.2054,0.0975,,transit,,0.83,5269.0,2016
K2-54b [ru],,0.103,9.7843,0.0671,,transit,,0.42,3798.0,2016
K2-55b [ru],,0.341,2.849258,0.03486,,transit,,0.7,4456.0,2016
K2-57b [ru],,0.187,9.0063,0.0746,,transit,,0.68,4434.0,2016
K2-58b,,0.239,7.05254,0.0692,,transit,,0.89,5413.0,2016
K2-58c,,0.145,2.53726,0.035,,transit,,0.89,5413.0,2016
K2-58d,,0.153,22.8827,0.1517,,transit,,0.89,5413.0,2016
K2-59b [ru],,0.215,20.6921,0.1354,,transit,,0.77,5055.0,2016
K2-59c [ru],,0.205,11.2954,0.0905,,transit,,0.77,5055.0,2016
K2-60b [ru],0.426,0.683,3.00265,0.045,1400.0,transit,,0.97,5500.0,2016
K2-61b [ru],,0.221,2.57302,0.0392,,transit,,1.21,6293.0,2016
K2-62b [ru],,0.191,6.67202,0.0636,,transit,,0.77,4880.0,2016
K2-62c [ru],,0.191,16.1966,0.1148,,transit,,0.77,4880.0,2016
K2-63b [ru],,0.287,20.257,0.1627,,transit,1710.0,1.4,6771.0,2016
K2-64b [ru],,0.185,6.53044,0.0619,,transit,,0.74,5312.0,2016
K2-65b [ru],,0.141,12.6475,0.1014,,transit,254.6,0.87,5213.0,2016
K2-66b,,0.222,5.06965,0.06069,,transit,,1.16,5958.0,2016
K2-68b [ru],,0.141,8.05428,0.0708,,transit,,0.73,4746.0,2016
K2-69b [ru],,0.207,7.06599,0.0591,,transit,,0.55,4127.0,2016
K2-70b [ru],,0.258,13.97896,0.1112,,transit,,0.94,5622.0,2016
K2-71b [ru],,0.192,6.98541,0.0559,,transit,,0.48,4006.0,2016
K2-72b,,0.067,5.57739,0.037,,transit,217.0,0.22,3497.0,2016
K2-72c,,0.077,15.1871,0.0722,,transit,217.0,0.22,3497.0,2016
K2-72d,,0.065,7.7599,0.0461,,transit,217.0,0.22,3497.0,2016
K2-72e,,0.073,24.1669,0.098,,transit,217.0,0.22,3497.0,2016
K2-73b [ru],,0.219,7.49543,0.07619,,transit,,1.05,5922.0,2016
K2-74b [ru],,0.206,19.5666,0.1402,,transit,,0.96,6060.0,2016
K2-75b [ru],,0.238,7.8142,0.081,,transit,,1.16,5995.0,2016
K2-75c [ru],,0.247,18.311,0.1429,,transit,,1.16,5995.0,2016
K2-77b,1.9,0.205,8.199796,,,transit,460.0,0.8,4970.0,2016
K2-79b,0.0371,0.365,10.99573,0.0987,,transit,,1.06,5926.0,2016
K2-80b,,0.179,19.0918,0.135,,transit,,0.9,5441.0,2016
K2-80c,,0.131,5.605,0.0596,,transit,,0.9,5441.0,2016
K2-81b,,0.162,6.10224,0.0579,,transit,,0.7,4530.0,2016
K2-83b,,0.111,2.74697,0.03014,,transit,,0.48,3910.0,2016
K2-83c,,0.132,9.99767,0.07131,,transit,,0.48,3910.0,2016
K2-84b,,0.215,6.4215,0.0665,,transit,,0.95,5652.0,2016
K2-84c,,0.181,27.86,0.1768,,transit,,0.95,5652.0,2016
K2-85b,,0.09,0.684533,0.01263,,transit,,0.57,4268.0,2016
K2-86b,,0.175,8.77683,0.077,,transit,,0.79,5482.0,2016
K2-87b,,0.41,9.72739,0.0876,,transit,,0.95,5406.0,2016
K2-88b,,0.11,4.6122,0.0345,,transit,,0.26,3537.0,2016
K2-89b,,0.055,1.096026,0.01462,,transit,,0.35,3691.0,2016
K2-90b,,0.182,13.7311,0.0926,,transit,,0.56,4136.0,2016
K2-90c,,0.091,2.90032,0.0328,,transit,,0.56,4136.0,2016
K2-91b,,0.098,1.419549,0.0164,,transit,,0.29,3622.0,2016
K2-93b,,0.228,,0.138,,transit,360.0,1.2,6200.0,2016
K2-93c,,0.259,,0.22,,transit,360.0,1.2,6200.0,2016
K2-95b [id],0.03458,0.31,10.13389,0.0653,,transit,560.0,0.36,3471.0,2016
K2-97b [id],0.48,1.31,8.4061,,,transit,2490.0,1.16,4790.0,2016
K2-98b [id],0.10131,0.384,10.13675,0.0943,,transit,1420.0,1.07,6120.0,2016
K2-99b,0.97,1.06,18.249,0.159,,transit,1980.0,1.6,5990.0,2016
K2-100b,,0.312,1.673916,,,transit,592.0,1.18,6120.0,2016
K2-101b,,0.178,14.677286,,,transit,592.0,0.8,4819.0,2016
K2-102b,,0.116,9.915615,,,transit,592.0,0.77,4695.0,2016
K2-103b,,0.196,21.169619,,,transit,592.0,0.61,3880.0,2016
K2-104b,,0.17,1.97419,,,transit,592.0,0.51,3660.0,2016
K2-107b,0.84,1.44,3.31392,0.048,,transit,,1.3,6030.0,2016
K2-110b,0.0525,0.2312,13.86375,0.1021,640.0,transit,385.0,0.74,5010.0,2016
K2-113b,1.29,0.93,5.817608,0.0558,1178.0,transit,1800.0,1.01,5627.0,2016
KELT-11b,0.195,1.3,4.736529,0.06229,1712.0,transit,320.0,1.438,5370.0,2016
KELT-12b,0.95,1.78,5.031623,0.06708,1800.0,transit,,1.59,6279.0,2016
KELT-16b,2.75,1.415,0.9689951,0.02044,,transit,1289.2,1.21,6236.0,2016
KELT-17b,1.31,1.525,3.0801716,0.04881,2087.0,transit,680.0,1.64,7454.0,2016
KIC 7917485 b,11.8,,840.0,2.03,,timing,,1.63,7067.0,2016
Kepler-20g,0.0628,,34.94,0.2055,,radial vel.,950.0,0.95,5495.0,2016
Kepler-46d,,0.146,6.766589,0.067,,transit,2790.0,0.9,5309.0,2016
Kepler-56d,5.61,,1002.0,2.16,,radial vel.,3060.0,1.32,4840.0,2016
Kepler-80f,,0.108,0.9867873,0.0175,,transit,1160.0,0.73,4540.0,2016
Kepler-132e,,0.105,110.2869374,,,transit,900.0,,6003.0,2016
Kepler-148d,,0.774,51.84688575,,,transit,2630.0,,5272.0,2016
Kepler-154d,,0.343,20.54981883,,,transit,3060.0,0.89,5690.0,2016
Kepler-154e,,0.134,3.93276465,,,transit,3060.0,0.89,5690.0,2016
Kepler-154f,,0.134,9.91935684,,,transit,3060.0,0.89,5690.0,2016
Kepler-157d,,0.13,7.02573474,,,transit,2580.0,,5774.0,2016
Kepler-166d,,0.154,1.55400393,,,transit,2000.0,,5413.0,2016
Kepler-167d,,0.107,21.803855,0.1405,536.0,transit,1100.0,0.77,4890.0,2016
Kepler-167e,,0.906,1071.23228,1.89,131.0,transit,1100.0,0.77,4890.0,2016
Kepler-176e,,0.129,51.16579,,,transit,1740.0,,5232.0,2016
Kepler-191d,,0.203,5.94504102,,,transit,1970.0,0.85,5282.0,2016
Kepler-192d,,0.091,6.47027579,,,transit,2160.0,,5479.0,2016
Kepler-198d,,0.136,1.31184443,,,transit,1638.0,0.93,5574.0,2016
Kepler-217d,,0.118,3.88689525,,,transit,3720.0,,6171.0,2016
Kepler-218d,,0.237,124.5244647,,,transit,2180.0,,5502.0,2016
